exercise,phase,elbow,shoulder,hip,knee,ankle,form,correction_needed,feedback_tag,accuracy,front_knee,front_hip,back_knee,back_hip
Overhead Press,mid,161.5,1.9,,,,good,False,,96.7,,,,
Overhead Press,start,90.0,2.6,,,,good,False,,98.1,,,,
Overhead Press,mid,165.4,9.2,,,,good,False,,98.4,,,,
Overhead Press,start,90.0,3.6,,,,good,False,,95.7,,,,
Overhead Press,end,180.0,,,,,good,False,,96.7,,,,
Overhead Press,mid,163.8,0.5,,,,good,False,,97.9,,,,
Overhead Press,end,180.0,,,,,good,False,,80.3,,,,
Overhead Press,start,90.0,7.0,,,,good,False,,88.0,,,,
Overhead Press,end,180.0,,,,,good,False,,92.4,,,,
Overhead Press,start,90.0,6.5,,,,good,False,,96.4,,,,
Overhead Press,mid,164.5,5.6,,,,good,False,,99.8,,,,
Overhead Press,mid,163.5,6.5,,,,good,False,,99.1,,,,
Overhead Press,start,90.0,3.5,,,,good,False,,95.6,,,,
Overhead Press,start,90.0,2.4,,,,good,False,,91.5,,,,
Overhead Press,mid,165.5,0.4,,,,good,False,,98.5,,,,
Overhead Press,mid,169.1,8.2,,,,good,False,,86.3,,,,
Overhead Press,mid,178.6,4.0,,,,good,False,,92.2,,,,
Overhead Press,end,180.0,,,,,good,False,,95.4,,,,
Overhead Press,start,90.0,9.9,,,,good,False,,98.9,,,,
Overhead Press,start,90.0,8.2,,,,good,False,,83.9,,,,
Overhead Press,end,180.0,,,,,good,False,,90.2,,,,
Overhead Press,end,180.0,,,,,good,False,,84.9,,,,
Overhead Press,start,90.0,7.9,,,,good,False,,91.0,,,,
Overhead Press,end,180.0,,,,,good,False,,96.1,,,,
Overhead Press,start,90.0,4.0,,,,good,False,,95.3,,,,
Overhead Press,start,90.0,1.9,,,,good,False,,84.5,,,,
Overhead Press,end,180.0,,,,,good,False,,88.4,,,,
Overhead Press,mid,200.4,-8.2,,,,bad,True,Partial press,69.6,,,,
Overhead Press,mid,200.1,-1.7,,,,bad,True,Partial press,49.8,,,,
Overhead Press,end,189.8,,,,,bad,True,Leaning back,66.2,,,,
Overhead Press,start,109.2,-2.2,,,,bad,True,Leaning back,42.6,,,,
Overhead Press,start,95.0,-6.4,,,,bad,True,No lockout,43.6,,,,
Overhead Press,mid,142.3,36.3,,,,bad,True,Partial press,45.6,,,,
Overhead Press,start,97.0,26.3,,,,bad,True,Leaning back,63.5,,,,
Overhead Press,end,177.6,,,,,bad,True,No lockout,62.4,,,,
Overhead Press,start,103.3,-16.8,,,,bad,True,Leaning back,48.6,,,,
Overhead Press,start,113.5,30.6,,,,bad,True,No lockout,65.5,,,,
Overhead Press,end,197.4,,,,,bad,True,Leaning back,57.1,,,,
Overhead Press,mid,141.6,18.2,,,,bad,True,Partial press,52.5,,,,
Overhead Press,start,102.9,37.4,,,,bad,True,No lockout,40.9,,,,
Overhead Press,start,82.1,13.7,,,,bad,True,No lockout,58.1,,,,
Overhead Press,start,71.5,36.6,,,,bad,True,No lockout,63.0,,,,
Overhead Press,end,153.4,,,,,bad,True,Partial press,60.3,,,,
Overhead Press,start,104.8,11.8,,,,bad,True,No lockout,67.7,,,,
Overhead Press,start,72.0,18.9,,,,bad,True,Partial press,62.2,,,,
Overhead Press,start,97.2,-23.4,,,,bad,True,Partial press,60.8,,,,
Overhead Press,mid,142.8,-7.4,,,,bad,True,No lockout,64.1,,,,
Overhead Press,start,118.7,-21.9,,,,bad,True,No lockout,68.5,,,,
Overhead Press,start,98.5,26.1,,,,bad,True,Partial press,69.1,,,,
Overhead Press,start,60.4,38.7,,,,bad,True,Partial press,65.8,,,,
Overhead Press,mid,156.7,-5.6,,,,bad,True,Partial press,49.1,,,,
Overhead Press,mid,198.2,-23.8,,,,bad,True,No lockout,44.2,,,,
Overhead Press,start,61.2,-17.6,,,,bad,True,Partial press,54.1,,,,
Overhead Press,mid,149.2,27.8,,,,bad,True,No lockout,61.8,,,,
Overhead Press,start,68.1,17.6,,,,bad,True,Leaning back,48.7,,,,
Overhead Press,mid,156.6,-4.5,,,,bad,True,Leaning back,55.9,,,,
Overhead Press,mid,203.1,-28.7,,,,bad,True,Partial press,51.7,,,,
Overhead Press,end,164.2,,,,,bad,True,Partial press,63.2,,,,
Overhead Press,end,203.5,,,,,bad,True,Partial press,43.4,,,,
Overhead Press,start,80.0,30.0,,,,bad,True,No lockout,66.9,,,,
Overhead Press,mid,138.1,20.1,,,,bad,True,Partial press,69.4,,,,
Overhead Press,mid,209.7,30.9,,,,bad,True,Leaning back,62.2,,,,
Overhead Press,end,198.6,,,,,bad,True,Leaning back,43.2,,,,
Overhead Press,start,66.7,-13.7,,,,bad,True,No lockout,41.4,,,,
Overhead Press,end,174.7,,,,,bad,True,No lockout,54.8,,,,
Overhead Press,mid,132.9,34.8,,,,bad,True,No lockout,55.0,,,,
Overhead Press,mid,184.7,35.6,,,,bad,True,Leaning back,67.6,,,,
Overhead Press,start,77.8,-14.6,,,,bad,True,Partial press,55.9,,,,
Overhead Press,start,91.1,11.9,,,,bad,True,No lockout,43.8,,,,
Overhead Press,end,184.8,,,,,bad,True,No lockout,52.3,,,,
Overhead Press,mid,135.5,21.9,,,,bad,True,No lockout,58.8,,,,
Overhead Press,start,112.3,-13.7,,,,bad,True,Partial press,51.3,,,,
Overhead Press,start,81.4,-15.2,,,,bad,True,Leaning back,64.4,,,,
Overhead Press,end,166.3,,,,,bad,True,Leaning back,41.5,,,,
Overhead Press,start,61.6,27.7,,,,bad,True,No lockout,51.1,,,,
Overhead Press,end,190.8,,,,,bad,True,Partial press,45.5,,,,
Overhead Press,start,95.8,24.0,,,,bad,True,Leaning back,42.0,,,,
Overhead Press,start,70.5,-27.3,,,,bad,True,No lockout,60.0,,,,
Overhead Press,mid,144.4,39.3,,,,bad,True,Partial press,41.3,,,,
Overhead Press,end,181.8,,,,,bad,True,Partial press,62.3,,,,
Overhead Press,mid,141.3,20.8,,,,bad,True,Partial press,41.7,,,,
Overhead Press,start,94.6,-7.3,,,,bad,True,Partial press,40.2,,,,
Overhead Press,mid,209.4,22.5,,,,bad,True,Leaning back,60.6,,,,
Overhead Press,end,200.4,,,,,bad,True,No lockout,45.9,,,,
Overhead Press,mid,190.3,-26.7,,,,bad,True,Leaning back,60.0,,,,
Overhead Press,start,71.2,14.9,,,,bad,True,Leaning back,69.4,,,,
Overhead Press,start,82.1,14.9,,,,bad,True,Leaning back,58.9,,,,
Overhead Press,mid,199.1,-22.6,,,,bad,True,Partial press,68.9,,,,
Overhead Press,mid,151.9,-2.6,,,,bad,True,Leaning back,53.8,,,,
Overhead Press,end,205.2,,,,,bad,True,No lockout,45.1,,,,
Overhead Press,start,105.2,-18.7,,,,bad,True,No lockout,41.9,,,,
Overhead Press,start,82.6,-17.3,,,,bad,True,Leaning back,68.3,,,,
Overhead Press,start,75.6,39.7,,,,bad,True,No lockout,45.5,,,,
Overhead Press,end,187.0,,,,,bad,True,Leaning back,68.1,,,,
Overhead Press,mid,194.1,12.3,,,,bad,True,Partial press,47.0,,,,
Overhead Press,end,206.3,,,,,bad,True,Leaning back,40.6,,,,
Overhead Press,mid,208.0,-12.7,,,,bad,True,Leaning back,64.4,,,,
Overhead Press,end,184.4,,,,,bad,True,Partial press,45.7,,,,
Overhead Press,mid,203.4,11.6,,,,bad,True,Partial press,43.4,,,,
Overhead Press,mid,203.1,-7.2,,,,bad,True,Leaning back,57.8,,,,
Overhead Press,end,197.9,,,,,bad,True,No lockout,56.8,,,,
Overhead Press,end,197.8,,,,,bad,True,Partial press,56.0,,,,
Overhead Press,end,154.8,,,,,bad,True,Leaning back,44.4,,,,
Overhead Press,mid,152.7,23.7,,,,bad,True,Leaning back,44.7,,,,
Overhead Press,start,115.3,13.5,,,,bad,True,Partial press,50.4,,,,
Overhead Press,end,208.9,,,,,bad,True,Partial press,45.1,,,,
Overhead Press,end,182.7,,,,,bad,True,Partial press,55.0,,,,
Overhead Press,end,206.2,,,,,bad,True,Partial press,50.9,,,,
Overhead Press,end,174.2,,,,,bad,True,No lockout,47.2,,,,
Overhead Press,mid,137.5,15.6,,,,bad,True,No lockout,47.3,,,,
Overhead Press,end,182.9,,,,,bad,True,No lockout,46.0,,,,
Overhead Press,start,60.1,39.3,,,,bad,True,No lockout,45.7,,,,
Overhead Press,end,188.2,,,,,bad,True,No lockout,63.2,,,,
Overhead Press,end,199.9,,,,,bad,True,No lockout,51.0,,,,
Overhead Press,mid,140.6,-22.4,,,,bad,True,Partial press,64.0,,,,
Overhead Press,end,196.0,,,,,bad,True,Leaning back,58.3,,,,
Overhead Press,end,203.5,,,,,bad,True,Leaning back,49.4,,,,
Overhead Press,end,162.1,,,,,bad,True,No lockout,54.4,,,,
Overhead Press,start,82.0,20.9,,,,bad,True,Partial press,57.7,,,,
Overhead Press,start,91.1,-22.3,,,,bad,True,No lockout,49.6,,,,
Overhead Press,end,198.3,,,,,bad,True,Leaning back,41.1,,,,
Overhead Press,mid,149.0,15.5,,,,bad,True,No lockout,54.0,,,,
Overhead Press,mid,189.6,-29.2,,,,bad,True,Leaning back,63.4,,,,
Overhead Press,mid,203.4,-15.7,,,,bad,True,Partial press,48.8,,,,
Overhead Press,mid,198.0,-7.3,,,,bad,True,Leaning back,49.1,,,,
Overhead Press,start,67.2,15.2,,,,bad,True,No lockout,64.1,,,,
Overhead Press,mid,132.9,35.2,,,,bad,True,Partial press,41.1,,,,
Overhead Press,end,157.8,,,,,bad,True,No lockout,45.1,,,,
Overhead Press,start,63.8,12.7,,,,bad,True,Leaning back,47.5,,,,
Overhead Press,start,95.6,-4.1,,,,bad,True,Partial press,46.0,,,,
Overhead Press,mid,132.8,-21.3,,,,bad,True,No lockout,48.3,,,,
Overhead Press,start,107.8,-15.7,,,,bad,True,No lockout,69.5,,,,
Overhead Press,start,61.8,24.3,,,,bad,True,Leaning back,44.6,,,,
Overhead Press,mid,143.4,27.1,,,,bad,True,Partial press,66.0,,,,
Overhead Press,start,73.8,-3.4,,,,bad,True,Partial press,60.5,,,,
Overhead Press,mid,183.5,-24.2,,,,bad,True,Leaning back,62.5,,,,
Overhead Press,mid,197.5,23.3,,,,bad,True,No lockout,41.7,,,,
Overhead Press,start,105.6,20.0,,,,bad,True,Partial press,46.7,,,,
Overhead Press,mid,200.5,-13.8,,,,bad,True,Leaning back,49.0,,,,
Overhead Press,end,195.7,,,,,bad,True,Partial press,59.1,,,,
Overhead Press,mid,206.1,21.7,,,,bad,True,No lockout,53.8,,,,
Overhead Press,end,164.7,,,,,bad,True,Leaning back,67.1,,,,
Overhead Press,mid,130.8,-12.6,,,,bad,True,No lockout,62.8,,,,
Overhead Press,mid,156.0,38.4,,,,bad,True,No lockout,44.9,,,,
Overhead Press,end,152.5,,,,,bad,True,No lockout,55.9,,,,
Overhead Press,end,154.1,,,,,bad,True,No lockout,59.7,,,,
Overhead Press,mid,157.0,23.0,,,,bad,True,Partial press,43.0,,,,
Overhead Press,end,191.6,,,,,bad,True,No lockout,41.0,,,,
Overhead Press,end,181.2,,,,,bad,True,Leaning back,58.5,,,,
Overhead Press,start,119.1,20.0,,,,bad,True,Leaning back,46.8,,,,
Overhead Press,end,173.6,,,,,bad,True,Partial press,58.7,,,,
Overhead Press,start,112.4,19.5,,,,bad,True,No lockout,42.0,,,,
Overhead Press,end,185.9,,,,,bad,True,Leaning back,47.6,,,,
Overhead Press,start,112.3,31.3,,,,bad,True,Partial press,59.0,,,,
Overhead Press,start,118.2,37.5,,,,bad,True,Leaning back,58.7,,,,
Overhead Press,end,189.4,,,,,bad,True,Leaning back,51.8,,,,
Overhead Press,mid,187.6,21.3,,,,bad,True,Partial press,52.4,,,,
Overhead Press,start,106.1,24.3,,,,bad,True,Leaning back,49.4,,,,
Overhead Press,mid,132.9,-14.9,,,,bad,True,Leaning back,62.3,,,,
Overhead Press,end,159.3,,,,,bad,True,Leaning back,48.3,,,,
Overhead Press,start,78.7,-24.0,,,,bad,True,Leaning back,43.6,,,,
Overhead Press,mid,194.8,24.8,,,,bad,True,Partial press,62.9,,,,
Overhead Press,end,172.5,,,,,bad,True,Leaning back,45.2,,,,
Overhead Press,mid,203.9,38.1,,,,bad,True,Leaning back,65.6,,,,
Overhead Press,mid,148.2,-24.6,,,,bad,True,No lockout,51.9,,,,
Overhead Press,end,172.3,,,,,bad,True,Partial press,43.2,,,,
Overhead Press,start,88.3,30.6,,,,bad,True,Partial press,60.8,,,,
Overhead Press,start,113.6,11.7,,,,bad,True,Partial press,68.3,,,,
Overhead Press,start,81.8,-16.8,,,,bad,True,No lockout,50.1,,,,
Overhead Press,end,181.7,,,,,bad,True,No lockout,52.5,,,,
Overhead Press,end,191.9,,,,,bad,True,No lockout,65.6,,,,
Overhead Press,start,106.9,-17.2,,,,bad,True,Leaning back,53.4,,,,
Overhead Press,end,200.1,,,,,bad,True,Leaning back,69.0,,,,
Overhead Press,mid,188.7,-9.2,,,,bad,True,Partial press,43.6,,,,
Overhead Press,end,166.8,,,,,bad,True,No lockout,61.1,,,,
Overhead Press,start,115.6,-5.8,,,,bad,True,No lockout,51.6,,,,
Overhead Press,end,158.9,,,,,bad,True,Partial press,55.5,,,,
Overhead Press,mid,187.1,23.7,,,,bad,True,No lockout,45.5,,,,
Overhead Press,end,203.8,,,,,bad,True,Partial press,55.5,,,,
Overhead Press,start,107.2,15.8,,,,bad,True,Leaning back,69.0,,,,
Overhead Press,end,158.8,,,,,bad,True,No lockout,58.9,,,,
Overhead Press,start,79.3,21.4,,,,bad,True,Partial press,40.5,,,,
Overhead Press,end,174.9,,,,,bad,True,Partial press,60.7,,,,
Overhead Press,mid,133.1,-15.3,,,,bad,True,Leaning back,62.1,,,,
Overhead Press,start,75.6,-11.1,,,,bad,True,Leaning back,50.8,,,,
Overhead Press,mid,144.3,-11.6,,,,bad,True,Leaning back,62.6,,,,
Overhead Press,mid,194.7,-11.0,,,,bad,True,No lockout,41.9,,,,
Overhead Press,mid,189.2,26.6,,,,bad,True,Partial press,46.8,,,,
Overhead Press,start,82.8,13.2,,,,bad,True,Leaning back,48.5,,,,
Overhead Press,start,110.3,-5.6,,,,bad,True,Partial press,61.2,,,,
Overhead Press,mid,140.8,-28.9,,,,bad,True,Partial press,49.8,,,,
Overhead Press,mid,153.0,-16.0,,,,bad,True,Leaning back,47.1,,,,
Overhead Press,end,167.5,,,,,bad,True,Partial press,53.8,,,,
Overhead Press,end,163.8,,,,,bad,True,No lockout,65.9,,,,
Overhead Press,start,64.0,-25.0,,,,bad,True,No lockout,55.7,,,,
Overhead Press,end,184.2,,,,,bad,True,Partial press,50.1,,,,
Overhead Press,start,66.4,-22.7,,,,bad,True,Partial press,66.4,,,,
Overhead Press,mid,155.2,-9.4,,,,bad,True,Leaning back,51.0,,,,
Overhead Press,end,161.3,,,,,bad,True,Leaning back,66.8,,,,
Overhead Press,end,190.7,,,,,bad,True,Leaning back,52.7,,,,
Overhead Press,end,190.7,,,,,bad,True,Leaning back,42.5,,,,
Overhead Press,end,152.5,,,,,bad,True,Leaning back,44.8,,,,
Overhead Press,mid,150.9,-9.0,,,,bad,True,Partial press,58.6,,,,
Overhead Press,start,85.1,-18.8,,,,bad,True,Partial press,56.6,,,,
Overhead Press,mid,196.1,36.1,,,,bad,True,Partial press,43.5,,,,
Overhead Press,end,170.6,,,,,bad,True,Leaning back,66.6,,,,
Overhead Press,start,72.9,30.0,,,,bad,True,Leaning back,43.5,,,,
Overhead Press,mid,131.4,12.5,,,,bad,True,Partial press,41.8,,,,
Overhead Press,mid,209.9,13.5,,,,bad,True,No lockout,52.2,,,,
Overhead Press,end,176.2,,,,,bad,True,No lockout,49.5,,,,
Overhead Press,end,184.5,,,,,bad,True,No lockout,63.7,,,,
Overhead Press,start,104.3,-3.4,,,,bad,True,No lockout,52.5,,,,
Overhead Press,mid,156.2,-10.8,,,,bad,True,No lockout,44.7,,,,
Overhead Press,end,198.2,,,,,bad,True,Partial press,61.8,,,,
Overhead Press,end,195.5,,,,,bad,True,Partial press,61.9,,,,
Overhead Press,mid,184.7,-5.1,,,,bad,True,Leaning back,52.3,,,,
Overhead Press,start,113.3,-13.8,,,,bad,True,Leaning back,58.8,,,,
Overhead Press,start,68.6,-7.3,,,,bad,True,Leaning back,55.2,,,,
Overhead Press,end,194.6,,,,,bad,True,No lockout,62.8,,,,
Overhead Press,end,191.0,,,,,bad,True,No lockout,48.1,,,,
Overhead Press,mid,132.4,-1.5,,,,bad,True,Partial press,63.4,,,,
Overhead Press,start,93.3,-22.3,,,,bad,True,Partial press,68.2,,,,
Overhead Press,mid,202.2,-23.5,,,,bad,True,No lockout,64.2,,,,
Overhead Press,start,115.9,30.4,,,,bad,True,Leaning back,61.0,,,,
Overhead Press,start,99.7,15.1,,,,bad,True,Leaning back,50.6,,,,
Overhead Press,mid,134.8,-19.4,,,,bad,True,Leaning back,46.6,,,,
Overhead Press,start,104.7,19.2,,,,bad,True,Leaning back,65.2,,,,
Overhead Press,start,82.5,-22.5,,,,bad,True,Leaning back,46.3,,,,
Overhead Press,end,195.8,,,,,bad,True,No lockout,68.8,,,,
Overhead Press,end,165.4,,,,,bad,True,No lockout,65.1,,,,
Overhead Press,mid,199.8,16.7,,,,bad,True,Leaning back,46.9,,,,
Overhead Press,mid,130.8,27.8,,,,bad,True,Leaning back,42.7,,,,
Overhead Press,mid,202.6,-20.9,,,,bad,True,Partial press,65.1,,,,
Overhead Press,start,108.5,-23.5,,,,bad,True,Leaning back,63.9,,,,
Overhead Press,end,167.3,,,,,bad,True,No lockout,65.5,,,,
Overhead Press,end,188.4,,,,,bad,True,Leaning back,47.3,,,,
Overhead Press,start,74.7,-12.3,,,,bad,True,Partial press,56.1,,,,
Overhead Press,start,112.4,-19.5,,,,bad,True,No lockout,44.6,,,,
Overhead Press,end,151.2,,,,,bad,True,No lockout,59.6,,,,
Overhead Press,mid,192.1,14.6,,,,bad,True,No lockout,62.9,,,,
Overhead Press,end,166.6,,,,,bad,True,Partial press,62.2,,,,
Overhead Press,end,203.6,,,,,bad,True,Leaning back,40.7,,,,
Overhead Press,mid,158.5,-29.4,,,,bad,True,Partial press,67.6,,,,
Overhead Press,mid,183.7,-14.0,,,,bad,True,Partial press,45.7,,,,
Overhead Press,mid,205.0,21.7,,,,bad,True,Leaning back,47.7,,,,
Overhead Press,start,92.3,-2.6,,,,bad,True,No lockout,61.4,,,,
Overhead Press,mid,132.5,24.6,,,,bad,True,Leaning back,45.4,,,,
Overhead Press,start,91.1,-26.8,,,,bad,True,Leaning back,45.2,,,,
Overhead Press,mid,207.4,22.1,,,,bad,True,Leaning back,48.4,,,,
Overhead Press,mid,133.6,-4.4,,,,bad,True,Leaning back,68.8,,,,
Overhead Press,end,206.7,,,,,bad,True,Partial press,59.8,,,,
Overhead Press,end,177.6,,,,,bad,True,Partial press,61.4,,,,
Overhead Press,start,83.4,16.3,,,,bad,True,Partial press,66.0,,,,
Overhead Press,start,98.6,38.9,,,,bad,True,Leaning back,66.6,,,,
Overhead Press,mid,139.2,18.3,,,,bad,True,Partial press,69.8,,,,
Overhead Press,mid,140.3,13.1,,,,bad,True,No lockout,62.9,,,,
Overhead Press,mid,137.0,-5.1,,,,bad,True,No lockout,59.3,,,,
Overhead Press,end,188.4,,,,,bad,True,No lockout,53.0,,,,
Overhead Press,mid,141.9,-21.3,,,,bad,True,Partial press,50.3,,,,
Overhead Press,end,190.8,,,,,bad,True,Leaning back,66.2,,,,
Overhead Press,start,71.1,31.6,,,,bad,True,No lockout,57.6,,,,
Overhead Press,mid,147.5,11.8,,,,bad,True,No lockout,53.7,,,,
Overhead Press,start,70.6,-21.6,,,,bad,True,Leaning back,45.9,,,,
Overhead Press,mid,199.3,13.7,,,,bad,True,No lockout,63.1,,,,
Overhead Press,mid,150.6,39.3,,,,bad,True,No lockout,55.5,,,,
Overhead Press,mid,137.1,17.3,,,,bad,True,Partial press,66.2,,,,
Overhead Press,end,166.5,,,,,bad,True,No lockout,55.1,,,,
Overhead Press,end,200.0,,,,,bad,True,Leaning back,41.8,,,,
Overhead Press,mid,150.1,31.4,,,,bad,True,Leaning back,55.8,,,,
Overhead Press,end,200.7,,,,,bad,True,Leaning back,46.5,,,,
Overhead Press,end,165.2,,,,,bad,True,No lockout,68.4,,,,
Overhead Press,end,209.4,,,,,bad,True,Leaning back,56.0,,,,
Overhead Press,mid,140.2,33.7,,,,bad,True,No lockout,55.7,,,,
Overhead Press,start,98.9,29.8,,,,bad,True,No lockout,62.9,,,,
Overhead Press,mid,157.2,29.5,,,,bad,True,Partial press,64.5,,,,
Overhead Press,mid,148.3,21.5,,,,bad,True,Leaning back,53.2,,,,
Overhead Press,start,62.0,12.4,,,,bad,True,Leaning back,61.6,,,,
Bicep Curl,start,180.0,0.0,,,,good,False,,88.9,,,,
Bicep Curl,start,180.0,0.0,,,,good,False,,97.6,,,,
Bicep Curl,end,180.0,,,,,good,False,,95.1,,,,
Bicep Curl,mid,18.8,0.0,,,,good,False,,88.2,,,,
Bicep Curl,end,180.0,,,,,good,False,,88.4,,,,
Bicep Curl,end,180.0,,,,,good,False,,95.3,,,,
Bicep Curl,end,180.0,,,,,good,False,,93.3,,,,
Bicep Curl,start,180.0,0.0,,,,good,False,,89.4,,,,
Bicep Curl,end,180.0,,,,,good,False,,89.8,,,,
Bicep Curl,mid,11.3,0.0,,,,good,False,,83.7,,,,
Bicep Curl,end,180.0,,,,,good,False,,82.2,,,,
Bicep Curl,mid,4.2,0.0,,,,good,False,,85.4,,,,
Bicep Curl,mid,7.6,0.0,,,,good,False,,96.8,,,,
Bicep Curl,start,180.0,0.0,,,,good,False,,94.4,,,,
Bicep Curl,mid,1.4,0.0,,,,good,False,,93.1,,,,
Bicep Curl,start,180.0,0.0,,,,good,False,,95.1,,,,
Bicep Curl,mid,19.2,0.0,,,,good,False,,90.8,,,,
Bicep Curl,mid,6.6,0.0,,,,good,False,,97.2,,,,
Bicep Curl,start,180.0,0.0,,,,good,False,,93.7,,,,
Bicep Curl,mid,7.2,0.0,,,,good,False,,81.4,,,,
Bicep Curl,mid,17.2,0.0,,,,good,False,,97.9,,,,
Bicep Curl,start,180.0,0.0,,,,good,False,,84.0,,,,
Bicep Curl,mid,3.4,0.0,,,,good,False,,87.6,,,,
Bicep Curl,end,180.0,,,,,good,False,,85.4,,,,
Bicep Curl,end,180.0,,,,,good,False,,94.8,,,,
Bicep Curl,mid,15.6,0.0,,,,good,False,,85.6,,,,
Bicep Curl,mid,12.7,0.0,,,,good,False,,80.6,,,,
Bicep Curl,start,180.0,0.0,,,,good,False,,89.3,,,,
Bicep Curl,mid,9.5,0.0,,,,good,False,,99.2,,,,
Bicep Curl,end,180.0,,,,,good,False,,94.0,,,,
Bicep Curl,end,180.0,,,,,good,False,,80.3,,,,
Bicep Curl,end,180.0,,,,,good,False,,91.5,,,,
Bicep Curl,end,180.0,,,,,good,False,,86.7,,,,
Bicep Curl,mid,0.6,0.0,,,,good,False,,81.8,,,,
Bicep Curl,start,180.0,0.0,,,,good,False,,83.6,,,,
Bicep Curl,mid,26.5,0.0,,,,good,False,,96.1,,,,
Bicep Curl,end,180.0,,,,,good,False,,94.0,,,,
Bicep Curl,start,180.0,0.0,,,,good,False,,93.2,,,,
Bicep Curl,mid,19.4,0.0,,,,good,False,,93.2,,,,
Bicep Curl,end,180.0,,,,,good,False,,89.7,,,,
Bicep Curl,end,180.0,,,,,good,False,,97.9,,,,
Bicep Curl,start,180.0,0.0,,,,good,False,,83.9,,,,
Bicep Curl,start,180.0,0.0,,,,good,False,,83.5,,,,
Bicep Curl,start,180.0,0.0,,,,good,False,,81.3,,,,
Bicep Curl,start,180.0,0.0,,,,good,False,,89.6,,,,
Bicep Curl,end,180.0,,,,,good,False,,82.1,,,,
Bicep Curl,end,180.0,,,,,good,False,,89.8,,,,
Bicep Curl,start,180.0,0.0,,,,good,False,,96.4,,,,
Bicep Curl,start,180.0,0.0,,,,good,False,,83.8,,,,
Bicep Curl,start,180.0,0.0,,,,good,False,,98.5,,,,
Bicep Curl,start,180.0,0.0,,,,good,False,,88.8,,,,
Bicep Curl,end,180.0,,,,,good,False,,98.9,,,,
Bicep Curl,start,180.0,0.0,,,,good,False,,94.4,,,,
Bicep Curl,start,180.0,0.0,,,,good,False,,96.2,,,,
Bicep Curl,end,180.0,,,,,good,False,,91.1,,,,
Bicep Curl,end,180.0,,,,,good,False,,89.8,,,,
Bicep Curl,end,180.0,,,,,good,False,,86.5,,,,
Bicep Curl,mid,28.1,0.0,,,,good,False,,82.5,,,,
Bicep Curl,end,180.0,,,,,good,False,,83.6,,,,
Bicep Curl,end,180.0,,,,,good,False,,82.8,,,,
Bicep Curl,start,180.0,0.0,,,,good,False,,93.1,,,,
Bicep Curl,mid,28.0,0.0,,,,good,False,,82.1,,,,
Bicep Curl,start,180.0,0.0,,,,good,False,,90.2,,,,
Bicep Curl,start,180.0,0.0,,,,good,False,,84.1,,,,
Bicep Curl,start,180.0,0.0,,,,good,False,,88.5,,,,
Bicep Curl,end,180.0,,,,,good,False,,87.0,,,,
Bicep Curl,mid,17.1,0.0,,,,good,False,,98.2,,,,
Bicep Curl,mid,7.5,0.0,,,,good,False,,90.7,,,,
Bicep Curl,start,180.0,0.0,,,,good,False,,81.5,,,,
Bicep Curl,mid,13.0,0.0,,,,good,False,,95.7,,,,
Bicep Curl,mid,21.8,0.0,,,,good,False,,97.6,,,,
Bicep Curl,mid,29.0,0.0,,,,good,False,,97.9,,,,
Bicep Curl,mid,27.9,0.0,,,,good,False,,93.6,,,,
Bicep Curl,mid,14.5,0.0,,,,good,False,,95.4,,,,
Bicep Curl,start,180.0,0.0,,,,good,False,,81.9,,,,
Bicep Curl,end,180.0,,,,,good,False,,87.4,,,,
Bicep Curl,end,180.0,,,,,good,False,,94.4,,,,
Bicep Curl,start,180.0,0.0,,,,good,False,,81.4,,,,
Bicep Curl,mid,24.9,0.0,,,,good,False,,90.8,,,,
Bicep Curl,end,180.0,,,,,good,False,,99.6,,,,
Bicep Curl,start,180.0,0.0,,,,good,False,,83.3,,,,
Bicep Curl,mid,0.6,0.0,,,,good,False,,90.8,,,,
Bicep Curl,end,180.0,,,,,good,False,,89.9,,,,
Bicep Curl,start,180.0,0.0,,,,good,False,,89.2,,,,
Bicep Curl,end,180.0,,,,,good,False,,91.6,,,,
Bicep Curl,end,180.0,,,,,good,False,,87.2,,,,
Bicep Curl,end,180.0,,,,,good,False,,80.3,,,,
Bicep Curl,mid,23.6,0.0,,,,good,False,,98.8,,,,
Bicep Curl,start,180.0,0.0,,,,good,False,,88.3,,,,
Bicep Curl,start,180.0,0.0,,,,good,False,,89.7,,,,
Bicep Curl,end,180.0,,,,,good,False,,99.8,,,,
Bicep Curl,end,180.0,,,,,good,False,,91.8,,,,
Bicep Curl,mid,12.3,0.0,,,,good,False,,81.4,,,,
Bicep Curl,start,180.0,0.0,,,,good,False,,94.7,,,,
Bicep Curl,start,180.0,0.0,,,,good,False,,82.5,,,,
Bicep Curl,mid,17.2,0.0,,,,good,False,,84.0,,,,
Bicep Curl,mid,1.5,0.0,,,,good,False,,99.3,,,,
Bicep Curl,start,180.0,0.0,,,,good,False,,94.8,,,,
Bicep Curl,mid,4.1,0.0,,,,good,False,,82.5,,,,
Bicep Curl,start,180.0,0.0,,,,good,False,,97.2,,,,
Bicep Curl,end,180.0,,,,,good,False,,85.3,,,,
Bicep Curl,start,180.0,0.0,,,,good,False,,99.9,,,,
Bicep Curl,mid,10.2,0.0,,,,good,False,,96.7,,,,
Bicep Curl,end,180.0,,,,,good,False,,92.1,,,,
Bicep Curl,start,180.0,0.0,,,,good,False,,95.1,,,,
Bicep Curl,mid,0.3,0.0,,,,good,False,,96.1,,,,
